Mod:Item:MetaData, Localized Name
minecraft:air, Ar
minecraft:stone:0, Pedra
minecraft:stone:1, Granito
minecraft:stone:2, Granito Polido
minecraft:stone:3, Diorito
minecraft:stone:4, Diorito Polido
minecraft:stone:5, Andesito
minecraft:stone:6, Andesito Polido
minecraft:grass, Bloco de Relva
minecraft:dirt:0, Terra
minecraft:dirt:1, Terra Infértil
minecraft:dirt:2, Podzol
minecraft:cobblestone, Empedrado
minecraft:planks:0, Tábuas de Madeira de Carvalho
minecraft:planks:1, Tábuas de Madeira de Abeto
minecraft:planks:2, Tábuas de Madeira de Bétula
minecraft:planks:3, Tábuas de Madeira da Selva
minecraft:planks:4, Tábuas de Madeira de Acácia
minecraft:planks:5, Tábuas de Madeira de Carvalho Escuro
minecraft:sapling:0, Rebento de Carvalho
minecraft:sapling:1, Rebento de Abeto
minecraft:sapling:2, Rebento de Bétula
minecraft:sapling:3, Rebento da Selva
minecraft:sapling:4, Rebento de Acácia
minecraft:sapling:5, Rebento de Carvalho Escuro
minecraft:bedrock, Rocha-Mãe
minecraft:sand:0, Areia
minecraft:sand:1, Areia Vermelha
minecraft:gravel, Gravilha
minecraft:gold_ore, Minério de Ouro
minecraft:iron_ore, Minério de Ferro
minecraft:coal_ore, Minério de Carvão
minecraft:log:0, Madeira de Carvalho
minecraft:log:1, Madeira de Abeto
minecraft:log:2, Madeira de Bétula
minecraft:log:3, Madeira da Selva
minecraft:leaves:0, Folhas de Carvalho
minecraft:leaves:1, Folhas de Abeto
minecraft:leaves:2, Folhas de Bétula
minecraft:leaves:3, Folhas da Selva
minecraft:sponge:0, Esponja
minecraft:sponge:1, Esponja Húmida
minecraft:glass, Vidro
minecraft:lapis_ore, Minério de Lápis-Lazúli
minecraft:lapis_block, Bloco de Lápis-Lazúli
minecraft:dispenser, Distribuidor
minecraft:sandstone:0, Arenito
minecraft:sandstone:1, Arenito Cinzelado
minecraft:sandstone:2, Arenito Polido
minecraft:noteblock, Bloco Musical
minecraft:golden_rail, Carril Elétrico
minecraft:detector_rail, Carril Detetor
minecraft:sticky_piston, Pistão Adesivo
minecraft:web, Teia de Aranha
minecraft:tallgrass:1, Relva
minecraft:tallgrass:2, Feto
minecraft:deadbush, Arbusto Morto
minecraft:piston, Pistão
minecraft:wool:0, Lã Branca
minecraft:wool:1, Lã Laranja
minecraft:wool:2, Lã Magenta
minecraft:wool:3, Lã Azul-Clara
minecraft:wool:4, Lã Amarela
minecraft:wool:5, Lã Verde-Lima
minecraft:wool:6, Lã Rosa
minecraft:wool:7, Lã Cinzenta
minecraft:wool:8, Lã Cinzento-Clara
minecraft:wool:9, Lã Azul-Ciano
minecraft:wool:10, Lã Roxa
minecraft:wool:11, Lã Azul
minecraft:wool:12, Lã Castanha
minecraft:wool:13, Lã Verde
minecraft:wool:14, Lã Vermelha
minecraft:wool:15, Lã Preta
minecraft:yellow_flower:0, Dente-de-Leão
minecraft:red_flower:0, Papoila
minecraft:red_flower:1, Orquídea Azul
minecraft:red_flower:2, Alho Silvestre
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Tulipa Vermelha
minecraft:red_flower:5, Tulipa Laranja
minecraft:red_flower:6, Tulipa Branca
minecraft:red_flower:7, Tulipa Rosa
minecraft:red_flower:8, Margarida
minecraft:brown_mushroom, Cogumelo
minecraft:red_mushroom, Cogumelo
minecraft:gold_block, Bloco de Ouro
minecraft:iron_block, Bloco de Ferro
minecraft:stone_slab:0, Degrau de Pedra
minecraft:stone_slab:1, Degrau de Arenito
minecraft:stone_slab:3, Degrau de Empedrado
minecraft:stone_slab:4, Degrau de Tijolos
minecraft:stone_slab:5, Degrau de Tijolos de Pedra
minecraft:stone_slab:6, Degrau de Tijolo do Nether
minecraft:stone_slab:7, Degrau de Quartzo
minecraft:brick_block, Tijolos
minecraft:tnt, TNT
minecraft:bookshelf, Estante de Livros
minecraft:mossy_cobblestone, Pedra com Musgo
minecraft:obsidian, Obsidiana
minecraft:torch, Tocha
minecraft:mob_spawner, Gerador de Monstros
minecraft:oak_stairs, Escadas de Madeira de Carvalho
minecraft:chest, Baú
minecraft:diamond_ore, Minério de Diamante
minecraft:diamond_block, Bloco de Diamante
minecraft:crafting_table, Mesa de Trabalho
minecraft:farmland, Terra Arada
minecraft:furnace, Fornalha
minecraft:ladder, Escadote
minecraft:rail, Carril
minecraft:stone_stairs, Escadas de Empedrado
minecraft:lever, Alavanca
minecraft:stone_pressure_plate, Placa de Pressão de Pedra
minecraft:wooden_pressure_plate, Placa de Pressão de Madeira
minecraft:redstone_ore, Minério de Redstone
minecraft:redstone_torch, Tocha de Redstone
minecraft:stone_button, Botão
minecraft:snow_layer, Neve
minecraft:ice, Gelo
minecraft:snow, Neve
minecraft:cactus, Cato
minecraft:clay, Barro
minecraft:jukebox, Jukebox
minecraft:fence, Cerca de Madeira de Carvalho
minecraft:pumpkin, Abóbora
minecraft:netherrack, Netherrack
minecraft:soul_sand, Areia das Almas
minecraft:glowstone, Pedra Luminosa
minecraft:lit_pumpkin, Abóbora de Halloween
minecraft:stained_glass:0, Vidro Tingido de Branco
minecraft:stained_glass:1, Vidro Tingido de Laranja
minecraft:stained_glass:2, Vidro Tingido de Magenta
minecraft:stained_glass:3, Vidro Tingido de Azul-Claro
minecraft:stained_glass:4, Vidro Tingido de Amarelo
minecraft:stained_glass:5, Vidro Tingido de Verde-Lima
minecraft:stained_glass:6, Vidro Tingido de Rosa
minecraft:stained_glass:7, Vidro Tingido de Cinzento
minecraft:stained_glass:8, Vidro Tingido de Cinzento-Claro
minecraft:stained_glass:9, Vidro Tingido de Azul-Ciano
minecraft:stained_glass:10, Vidro Tingido de Roxo
minecraft:stained_glass:11, Vidro Tingido de Azul
minecraft:stained_glass:12, Vidro Tingido de Castanho
minecraft:stained_glass:13, Vidro Tingido de Verde
minecraft:stained_glass:14, Vidro Tingido de Vermelho
minecraft:stained_glass:15, Vidro Tingido de Preto
minecraft:trapdoor, Alçapão de Madeira
minecraft:monster_egg:0, Ovo de Monstro de Pedra
minecraft:monster_egg:1, Ovo de Monstro de Empedrado
minecraft:monster_egg:2, Ovo de Monstro de Tijolos de Pedra
minecraft:monster_egg:3, Ovo de Monstro de Tijolo de Pedra com Musgo
minecraft:monster_egg:4, Ovo de Monstro de Tijolos de Pedra Rachados
minecraft:monster_egg:5, Ovo de Monstro de Tijolos de Pedra Cinzelados
minecraft:stonebrick:0, Degrau de Tijolos
minecraft:stonebrick:1, Tijolos de Pedra com Musgo
minecraft:stonebrick:2, Tijolos de Pedra Rachados
minecraft:stonebrick:3, Tijolos de Pedra Cinzelados
minecraft:brown_mushroom_block, Cogumelo
minecraft:red_mushroom_block, Cogumelo
minecraft:iron_bars, Grades de Ferro
minecraft:glass_pane, Painel de Vidro
minecraft:melon_block, Melancia
minecraft:vine, Trepadeiras
minecraft:fence_gate, Portão de Madeira de Carvalho
minecraft:brick_stairs, Escadas de Tijolo
minecraft:stone_brick_stairs, Escadas de Tijolo de Pedra
minecraft:mycelium, Micélio
minecraft:waterlily, Nenúfar
minecraft:nether_brick, Tijolo do Nether
minecraft:nether_brick_fence, Cerca de Tijolo do Nether
minecraft:nether_brick_stairs, Escadas de Tijolo do Nether
minecraft:enchanting_table, Mesa de Encantamentos
minecraft:end_portal_frame, Portal do End
minecraft:end_stone, Pedra do End
minecraft:dragon_egg, Ovo de Dragão
minecraft:redstone_lamp, Lâmpada de Redstone
minecraft:wooden_slab:0, Degrau de Madeira de Carvalho
minecraft:wooden_slab:1, Degrau de Madeira de Abeto
minecraft:wooden_slab:2, Degrau de Madeira de Bétula
minecraft:wooden_slab:3, Degrau de Madeira da Selva
minecraft:wooden_slab:4, Degrau de Madeira de Acácia
minecraft:wooden_slab:5, Degrau de Madeira de Carvalho Escuro
minecraft:sandstone_stairs, Escadas de Arenito
minecraft:emerald_ore, Minério de Esmeralda
minecraft:ender_chest, Baú do End
minecraft:tripwire_hook, Gancho de Fio Armadilhado
minecraft:emerald_block, Bloco de Esmeralda
minecraft:spruce_stairs, Escadas de Madeira de Abeto
minecraft:birch_stairs, Escadas de Madeira de Bétula
minecraft:jungle_stairs, Escadas de Madeira da Selva
minecraft:command_block, Bloco de Comando
minecraft:beacon, Sinalizador
minecraft:cobblestone_wall:0, Muro de Empedrado
minecraft:cobblestone_wall:1, Muro de Empedrado com Musgo
minecraft:wooden_button, Botão
minecraft:anvil:0, Bigorna
minecraft:anvil:1, Bigorna Ligeiramente Danificada
minecraft:anvil:2, Bigorna Muito Danificada
minecraft:trapped_chest, Baú Armadilhado
minecraft:light_weighted_pressure_plate, Placa de Pressão (Leve)
minecraft:heavy_weighted_pressure_plate, Placa de Pressão (Pesada)
minecraft:daylight_detector, Sensor de Luz do Dia
minecraft:redstone_block, Bloco de Redstone
minecraft:quartz_ore, Minério de Quartzo do Nether
minecraft:hopper, Funil
minecraft:quartz_block:0, Bloco de Quartzo
minecraft:quartz_block:1, Bloco de Quartzo Cinzelado
minecraft:quartz_block:2, Bloco de Quartzo de Pilar
minecraft:quartz_stairs, Escadas de Quartzo
minecraft:activator_rail, Carril Ativador
minecraft:dropper, Ejetor
minecraft:stained_hardened_clay:0, Terracota Branca
minecraft:stained_hardened_clay:1, Terracota Laranja
minecraft:stained_hardened_clay:2, Terracota Magenta
minecraft:stained_hardened_clay:3, Terracota Azul-Clara
minecraft:stained_hardened_clay:4, Terracota Amarela
minecraft:stained_hardened_clay:5, Terracota Verde-Lima
minecraft:stained_hardened_clay:6, Terracota Rosa
minecraft:stained_hardened_clay:7, Terracota Cinzenta
minecraft:stained_hardened_clay:8, Terracota Cinzento-Clara
minecraft:stained_hardened_clay:9, Terracota Azul-Ciano
minecraft:stained_hardened_clay:10, Terracota Roxa
minecraft:stained_hardened_clay:11, Terracota Azul
minecraft:stained_hardened_clay:12, Terracota Castanha
minecraft:stained_hardened_clay:13, Terracota Verde
minecraft:stained_hardened_clay:14, Terracota Vermelha
minecraft:stained_hardened_clay:15, Terracota Preta
minecraft:stained_glass_pane:0, Painel de Vidro Tingido de Branco
minecraft:stained_glass_pane:1, Painel de Vidro Tingido de Laranja
minecraft:stained_glass_pane:2, Painel de Vidro Tingido de Magenta
minecraft:stained_glass_pane:3, Painel de Vidro Tingido de Azul-Claro
minecraft:stained_glass_pane:4, Painel de Vidro Tingido de Amarelo
minecraft:stained_glass_pane:5, Painel de Vidro Tingido de Verde-Lima
minecraft:stained_glass_pane:6, Painel de Vidro Tingido de Rosa
minecraft:stained_glass_pane:7, Painel de Vidro Tingido de Cinzento
minecraft:stained_glass_pane:8, Painel de Vidro Tingido de Cinzento-Claro
minecraft:stained_glass_pane:9, Painel de Vidro Tingido de Azul-Ciano
minecraft:stained_glass_pane:10, Painel de Vidro Tingido de Roxo
minecraft:stained_glass_pane:11, Painel de Vidro Tingido de Azul
minecraft:stained_glass_pane:12, Painel de Vidro Tingido de Castanho
minecraft:stained_glass_pane:13, Painel de Vidro Tingido de Verde
minecraft:stained_glass_pane:14, Painel de Vidro Tingido de Vermelho
minecraft:stained_glass_pane:15, Painel de Vidro Tingido de Preto
minecraft:leaves2:0, Folhas de Acácia
minecraft:leaves2:1, Folhas de Carvalho Escuro
minecraft:log2:0, Madeira de Acácia
minecraft:log2:1, Madeira de Carvalho Escuro
minecraft:acacia_stairs, Escadas de Madeira de Acácia
minecraft:dark_oak_stairs, Escadas de Madeira de Carvalho Escuro
minecraft:slime, Bloco de Slime
minecraft:barrier, Barreira
minecraft:iron_trapdoor, Iron Trapdoor
minecraft:prismarine:0, Prismarinho
minecraft:prismarine:1, Tijolos de Prismarinho
minecraft:prismarine:2, Prismarinho Escuro
minecraft:sea_lantern, Lanterna Aquática
minecraft:hay_block, Fardo de Feno
minecraft:carpet:0, Tapete Branco
minecraft:carpet:1, Tapete Laranja
minecraft:carpet:2, Tapete Magenta
minecraft:carpet:3, Tapete Azul-Claro
minecraft:carpet:4, Tapete Amarelo
minecraft:carpet:5, Tapete Verde-Lima
minecraft:carpet:6, Tapete Rosa
minecraft:carpet:7, Tapete Cinzento
minecraft:carpet:8, Tapete Cinzento-Claro
minecraft:carpet:9, Tapete Azul-Ciano
minecraft:carpet:10, Tapete Roxo
minecraft:carpet:11, Tapete Azul
minecraft:carpet:12, Tapete Castanho
minecraft:carpet:13, Tapete Verde
minecraft:carpet:14, Tapete Vermelho
minecraft:carpet:15, Tapete Preto
minecraft:hardened_clay, Terracota
minecraft:coal_block, Bloco de Carvão
minecraft:packed_ice, Gelo Compactado
minecraft:double_plant:0, Girassol
minecraft:double_plant:1, Lilás
minecraft:double_plant:2, Relva Grande
minecraft:double_plant:3, Feto Grande
minecraft:double_plant:4, Roseira
